"year","month","observations","weighted","povRate","povSE","povCIH","povCIL"
"84",2011,1,84399,297341557.5025,0.172424103145652,0.00267612025161258,0.176825929247676,0.168022277043629
"85",2011,2,84169,297822370.2616,0.173567758361451,0.00277036977628893,0.178124611135977,0.169010905586925
"86",2011,3,83104,297753722.0682,0.173590029498141,0.00300540691639997,0.178533483965046,0.168646575031235
"87",2011,4,82214,297332013.5888,0.175027241752283,0.00324278465579753,0.180361147854794,0.169693335649772
"88",2011,5,81355,296740870.2171,0.172280714897472,0.00311539958581039,0.177405091205595,0.167156338589349
"89",2011,6,80776,297272005.0504,0.167434787220415,0.00322969620357985,0.172747164734825,0.162122409706006
"90",2011,7,80345,297785792.5657,0.168933629319475,0.00301007619566526,0.173884764067315,0.163982494571635
"91",2011,8,79416,298125001.393,0.166484227900671,0.00299919863354568,0.171417470651006,0.161550985150335
"92",2011,9,78997,297885657.893,0.166603495902198,0.00316755764136711,0.171813664577179,0.161393327227217
"93",2011,10,78535,297999482.7985,0.166452795224951,0.00322227333786195,0.171752963211762,0.16115262723814
"94",2011,11,78186,298251923.2465,0.162074284077118,0.00322092598999938,0.167372235873911,0.156776332280325
"95",2011,12,78180,298761649.1392,0.166266787695885,0.0032071462213291,0.171542073790202,0.160991501601569
"96",2012,1,58542,227736624.1734,0.170000153018084,0.00349960896954001,0.175756497524544,0.164243808511625
"97",2012,2,38705,151986347.3007,0.170390146953553,0.00441180109196363,0.177646913981058,0.163133379926048
"98",2012,3,19373,76252073.4679,0.171212537464911,0.00580615713664638,0.180762816089774,0.161662258840048
