"date" "administrativeAssistant" "applyForFoodStamps" "applyForMedicaid" "applyForMedicare" "badCreditScore" "cashAdvance" "cashAssistance" "cashier" "cheapApartment" "collectUnemploymentPay" "customerServiceJob" "daycareJob" "dhsOffice" "electricityBill" "eligibleForSocialSecurity" "fastFoodJob" "fileForBankruptcy" "fixMyCreditScore" "foodService" "foodStampOffice" "foodStamps" "forgiveLoans" "freeClinic" "freeHealthcare" "freeSchoolLunch" "getACashAdvance" "getALoanWithBadCredit" "getAPaydayLoan" "getOutOfDebt" "getRichQuick" "governmentBenefits" "governmentHousing" "helpWithRent" "homelessShelter" "housekeeping" "maximumUnemploymentBenefits" "paydayLoan" "payPerHour" "publicHousing" "rentAssistance" "reverseMortgage" "salesAssociateJob" "tanf" "tempJob" "temporaryJob" "temporaryWork" "tempWork" "unemploymentBenefits" "unemploymentCheck" "utilityBill" "welfareMoney" "welfareOffice" "welfareProgram" "whatCanYouBuyWithFoodStamps" "workForMinimumWage" "workInARestaurant" "workInCustomerService" "workInFastFood" "year" "month" "rate" "finalDate"
"11" "2004-11" 10.5 0 0 0 0.5 45 0 27.5 51 0 12 0 0 0 0 0 0 0 0 0 1 0 4.25 2 0 0 0 0 4.5 4.5 3 5.5 0 78 74.75 0 3.25 0 5.25 3.25 4.75 0 6.75 3.75 4 54.5 3.5 0.25 0 31.5 0 1.5 8.25 0 0 0 0 0 "2004" "11" 0.137171715504822 2004-11-01
"12" "2004-12" 9.5 0 0 0 2 52.5 0 20 48.5 0 10 0 0.5 0 0 0 34.75 0 0 0 0.75 0 3.5 2 0 0 0 0 5.25 5.25 2.5 5 0 72.25 72.25 0 4.25 0 5 3.5 3.5 0 5.25 3.75 4 52 5.25 0 0 32 0 1.5 5.75 0 0 0 0 0 "2004" "12" 0.137395583821822 2004-12-01
"13" "2005-01" 12.6 0 0.4 0 2.4 43.2 0 32.6 53.6 0 25 1 0 0 0 0 29.6 0 0 0 1 0 5.4 3 0 0 0 0 5.6 5 2 6.2 0 44.8 64.6 0 3.4 0 5.6 2.2 4.6 0 4.8 4.6 4 52.2 6.4 0.6 0 35.8 0 1.6 6 0 0 0 0 0 "2005" "01" 0.140140457602896 2005-01-01
"14" "2005-02" 12 0 0 0 3 36.75 0 28 49 0 48 0 0 0 0 0 32.5 0 24 0 1 0 5 1.25 0 0 0 0 3.75 5.25 2.75 6.75 0 41.75 59.5 0 2.75 0 6.25 0.5 6 0 5.75 4.25 4.25 41 4.75 0 0 25.5 0 1.25 5.5 0 0 0 0 0 "2005" "02" 0.140381542936609 2005-02-01
"15" "2005-03" 12.75 0 0 0 2.75 39.5 0 26 60 0 43 1.25 0.5 0 0 0 35.5 0 0 0 1 0 4.25 3 0 0 0 0 4.5 6 2.5 6.75 0 38.5 65.5 0 3 0 5.75 2.25 6.5 0 6 3.5 3.75 46 4.5 0 0 32.5 0 1 6 0 0 0 0 0 "2005" "03" 0.136511702281476 2005-03-01
"16" "2005-04" 24.25 0 0.5 0 2 45.25 0.75 33.5 73.5 0 46 5 0 0 0 0 30.5 0 0 0 0.75 0 4.25 2 0 0 0 0 3.5 6.25 3 5.5 0 48 66 0 3.25 0 6.25 2.75 5.75 0 7 4.25 4.5 51.25 4.25 0 0 36.25 0 1 7.5 0 0 0 0 0 "2005" "04" 0.1394147533771 2005-04-01
"17" "2005-05" 12.6 0 2 0 2 55 0 33.2 61.8 0 44.6 2 0 53.8 0 0 28 0 0 0 1 0 4.8 2 0.4 0 0 0 4.2 4.6 2.2 6.2 0 37.2 62.4 0 4.2 10.8 5.6 2.8 5.4 0 5.8 5 4.4 56.8 5.8 0 0 34.8 0 1.4 4 0 0 0 0 0 "2005" "05" 0.136882469583512 2005-05-01
"18" "2005-06" 12.75 0 0.5 0 2.5 63 0 35 59.5 0 40.5 1.25 1.5 33.5 0 0 28.75 0 0 0 1 0 5.25 2.25 0 0 0 0 3.75 4.75 2 6 0 39.75 62.75 0 4.75 0 6 2.75 6.25 0 4.5 5.75 5.75 56.25 6.5 0 0 29 0 2 5 0 0 0 0 0 "2005" "06" 0.133923663327994 2005-06-01
"19" "2005-07" 14.6 0 1.2 1.4 2.6 59 0.6 32.2 66.6 0 47.6 0 0.8 26.2 0 0 33.2 0 0 0.8 1 0 5.8 3 0.8 0 0 0 4 5.8 1.8 5.6 0 38.8 67.8 0 4.2 0 5.6 3.2 7.2 0 5.4 4.8 5.2 62.4 5.2 0 0.2 32.8 0 2 5.2 0 0 0 0 0 "2005" "07" 0.139834970763644 2005-07-01
"20" "2005-08" 14.25 0.25 1.5 1.25 2.75 55.5 0 38 51.75 0 44.25 0 0 13 0 0 28.75 0 0 1.5 1.25 0 5.5 2.5 0.75 0 0 0 4.5 4.25 2 6.25 0 40.75 64.5 0 4.5 0 4.75 2.5 7.25 0 3.75 4 4.25 41.5 4.5 0 0 29.75 0 2.25 3.75 0 0 0 0 0 "2005" "08" 0.134629232918312 2005-08-01
"21" "2005-09" 12.5 0.25 2 0 1.75 51.5 2 28.75 46 0 44.75 0 2.25 0 0 0 44.5 0 0 1.75 2.25 0 5 1.75 1 0 0 0 4 5.5 2 6.25 0 44.75 63.75 0 4 0 6.25 2.25 6.5 0 5.75 4.25 4.75 50 4.75 0.25 0 33.5 0 2 4.25 0 0 0 0 0 "2005" "09" 0.139810440775312 2005-09-01
"22" "2005-10" 13.2 0 1.6 0 2 50.8 2 27.4 49.4 0 39.4 1 0.8 48.6 0 0 45.6 0 0 1 1.6 0 5.2 2.2 2 0 0.4 0 4.2 5.6 2.2 5.4 0 42.8 70.8 0 3.6 0 5.4 2.8 5.8 0 6 3.6 3.6 48.4 4.6 0 0 30.6 0 1.8 5 0 0 0 0 0 "2005" "10" 0.138254003367767 2005-10-01
"23" "2005-11" 9.25 0 1 0 1.5 49 1.5 25 48 0 35 0 0 41 0 0 23.5 0 0 1 1.25 0 4.5 2.25 2 0 0 0 3.75 3.5 1.75 4.75 0 64.5 70.25 0 3.75 0 5 3 5.5 0 6.25 3.25 3.75 36.5 5.25 0 0 24.75 0 1.75 4.5 0 0 0 0 0 "2005" "11" 0.135773881453167 2005-11-01
"24" "2005-12" 9.5 0 2 3.5 1.75 56.75 0 24.75 44.75 0 35 0 0 0 0 0 24.75 0 0 1 1 0 5 1.5 0.5 0 0 0 3.75 4.5 2 4 0 65.75 60 0 5 0 3.5 2.75 4.75 0 5 3.25 4 37.75 3.5 0 0 25.75 0 1.25 3.75 0 0 0 0 0 "2005" "12" 0.138805846622263 2005-12-01
"25" "2006-01" 12.8 0 2.4 3.6 2 45.6 0.8 29.6 63.2 0 37 5.2 1.2 8.8 0 0 21.6 0 0 1 1 0 5.4 1.8 0.8 0 0 0 5.4 5 1.8 4.6 0 41 59.2 0 3.4 16.4 5 2.4 6.6 0 4.2 4 4.2 41.8 4.2 0.2 0 29.6 0 1.8 4 0 0 0 0 0 "2006" "01" 0.13923174720058 2006-01-01
"26" "2006-02" 11.75 0 1.25 3 1.75 37 0 28.75 52 0 34.25 4 2 8.25 0 0 25.5 0 0 0.5 1 0 5 2.5 2 0 0 0 4.25 5.5 2.25 5 0 49.5 62.25 0 3 7 5.5 2 6.75 0 4.75 3.5 3.25 41.5 3.5 0 0.75 31.75 0 1.5 3.5 0 0 0 0 0 "2006" "02" 0.13789870243227 2006-02-01
"27" "2006-03" 14.25 0 2 3.5 2.75 43 0.5 29.25 56.25 0 38 4.25 1.75 39.75 0 1.25 22 0 0 0.25 1 0 4.75 2.5 2 0 0 0 4 5.75 2 4.5 0 40 58.5 0 3.5 7.5 5.5 2 7 0 5.5 3.25 3.5 48 3.75 0 0.25 31.5 0 1.25 4 0 0 0 0 0 "2006" "03" 0.13281431580819 2006-03-01
"28" "2006-04" 22.8 0 2 4 2.6 48.8 0.2 31.6 65.6 0 42.4 4.8 1.6 44.8 2 0 23.2 0 0 0.6 1 0 5 2.4 2 0 0.8 0 4.6 3.6 2.2 5 0 38.4 57 0 4.4 31.8 5.4 2.6 6.8 0 5 3.4 4.6 46.8 4.6 0 0 26 0 1.4 5.8 0 0 0 0 0 "2006" "04" 0.137818111502488 2006-04-01
"29" "2006-05" 13 0 1.25 3.75 3 55 1.75 37.75 51.75 0 40.25 4 2.25 0 0 2.75 25.25 0 15.75 0 1 0 4.75 1.75 0 0 1.25 0 4.75 4.25 1.75 4.75 0 33.75 58 0 5 0 5.25 2.75 6.25 0 4.5 5 5.25 55.25 6.5 0 0 26 0 1.5 4.75 0 0 0 0 0 "2006" "05" 0.133906118053221 2006-05-01
"30" "2006-06" 12.5 0.25 1.75 3.25 2.25 64.5 2.25 37.25 61.25 0 40.5 4.25 2.5 32.5 0 0 20.25 0 0 0.25 1 0 5.5 1.75 0.5 0 0.5 0 4.5 4.5 1.75 4.25 2.5 37.25 60.75 0 5 0 5.5 3 7 0 5 5 5.5 56.75 5.25 0 0 30.75 0 2 3.25 0 0 0 0 0 "2006" "06" 0.139412071070603 2006-06-01
"31" "2006-07" 12.2 0.8 1.4 3 2.8 67 1.8 34.8 64.2 0 40 4.8 2.2 44 0 1 22.6 0 11.8 0.8 1 0 5.8 2.4 1.6 0 0.8 0 6.4 5.4 1.8 5.2 2.4 36.4 63.6 0 5.6 25.6 4.8 4 7.2 0 3.8 4.6 4.2 51.4 4.8 0.2 0.2 32 0 2.4 3.4 0 0 0 0 0 "2006" "07" 0.141495252778399 2006-07-01
"32" "2006-08" 13.25 0.25 1.75 3 2.5 64.5 2 35 59 0 36.75 3.75 2.25 43.25 0 0 24.5 0 44.75 0.75 1 0 6.25 2 2.5 0 1.25 0 5 4.75 1.75 5 2.25 38.5 88.5 0 5.25 26 5.5 3.25 7 0 5 4.25 3.5 40.5 4 0 0 31.75 0 1.75 3.75 0 0 0 0 0 "2006" "08" 0.136544327887132 2006-08-01
"33" "2006-09" 13.25 0 2 0.75 2 59.25 1 34.75 50 0 39.25 3 2 36.5 0 0 27.5 0 0 1 1 0 6 2.25 2 0 1 0 5.75 3.75 2 4.75 2.5 40.5 78.5 0 5 6.5 5 3.5 7 0 5.25 3.75 3.5 40.75 4.75 0 0 25.5 0 2 3.75 0 0 0 0 0 "2006" "09" 0.135591433224654 2006-09-01
"34" "2006-10" 12.6 0 2.2 1 2.4 54.6 1.2 31 48.4 0 38.6 3.4 2 31 0 1 28 0 54 0.4 1 0 5.6 2 1.4 0 1 0 5.2 3.2 2.4 4.4 0.4 48.2 65.6 0 4.4 0 5.2 2.6 5.8 0 5.6 3.2 3 41.6 4 0.2 0 32.6 4.4 2.2 4.8 0 0 0 0 0 "2006" "10" 0.134725162996171 2006-10-01
"35" "2006-11" 10.25 0 1.75 3 2.25 57.75 1.5 29.75 45.5 0 39.5 3.25 1.5 30.25 0 0 24.75 0 12.5 0.75 1 0 4.5 2.25 1.5 0 1.25 0 4 3.75 2.25 4 0 66.25 70 0 4.5 17 5 3.25 4.75 1.25 5 3.25 3.25 40.25 4 0.75 0 27.25 0 1.75 5 0 0 0 0 0 "2006" "11" 0.132143265921847 2006-11-01
"36" "2006-12" 10.2 0.4 2 3.4 2 68.4 1 28.6 44.4 0 31.2 3.6 2 30.8 0 0 24.4 0 0 0.8 1 0 4.4 2.4 1 0 1.4 0 5.2 3.6 1.8 4 1.6 62.4 65.6 0 5.4 3.8 3.8 2.2 5.8 0 4 3.6 3.4 35.4 3.8 1 0 24.2 0 2 3.2 0 0 0 0 0 "2006" "12" 0.138590408858165 2006-12-01
"37" "2007-01" 14.25 0.25 2.5 2.5 2.75 52.25 1 36.75 54.25 0 46 4 2.75 36 0 0 22.5 0 16 0.5 1 0 5.5 2.25 1.25 0 1 0 6.25 4.25 2 4.75 1.5 47.25 58.5 0 4 15.25 5 2.5 6.75 0.25 4.25 3.75 4 41.5 4.25 1 1 28.5 0 2 3.5 0 0 0 0 0 "2007" "01" 0.138269880821969 2007-01-01
"38" "2007-02" 11.5 0 2.25 2 3 47.25 1.25 29.75 51.75 0 40.5 3.5 2 55.5 0 0 27 0 0 0.75 1 0 5.75 2 1 0 1.25 0 5 3.5 2 3.75 2 42.25 59.5 0 3.75 31 4.5 2.5 7 0 4.5 3 3.5 33.5 2.75 1 0.25 39.5 0 2 4.5 0 0 0 0 0 "2007" "02" 0.138516376824236 2007-02-01
"39" "2007-03" 13.5 0.25 2.5 3 3 53.25 1.25 33 55.25 0 46 3.25 2 33.5 0 0 25.5 0 59 0.5 1 0 5.5 2.25 1 0 1.5 0 5.25 4 2 4.5 2 45.25 59.5 0 4.5 28.5 5.25 2.5 6.5 0.75 4.75 3.5 3.75 37 3.5 1 0.25 34.25 0 1.75 4.25 0 0 0 0 0 "2007" "03" 0.137303724312349 2007-03-01
"40" "2007-04" 26.6 0.2 2 2.8 3 64.2 1.4 36.4 61.2 0 44.4 4.4 1.2 37.6 0 3.2 27 0 53.4 0.4 1 0 5.8 2.2 1.2 0 1.4 0 5.4 3.4 2 4.8 1.8 42.6 54.6 0 5.8 22.8 5.2 2.8 6.2 1 5.2 4.2 4 38.6 4.2 1 0.6 35.2 6.8 2 5 0 0 0 0 0 "2007" "04" 0.138576622077968 2007-04-01
"41" "2007-05" 13.25 0.25 2 3 2.75 67.5 1.25 41.5 62.25 0 42.25 4.25 1.75 46.25 0 4 29.75 0 46.5 0.75 1 0 5.5 1.75 1.5 0 1.5 0 5.5 4 1.75 4.5 1.75 36 52.5 0 5.75 28.5 5.25 3.5 5.75 1 4.25 4.25 4.25 42.25 4.75 1 0 30.5 13.25 2 3 0 0 0 0 0 "2007" "05" 0.134224967395387 2007-05-01
"42" "2007-06" 14.5 0.75 2.5 2.75 3.75 77.25 1.75 46.75 62.5 0 49 5.25 2.25 34.5 0 3.25 26.25 0 53.25 1 1 0 6 2.75 1.75 0 2 0 6 4 1.5 4.75 2 36.5 57.5 0 6.75 21.75 5.25 3.25 7 1.5 4.5 5.5 4.75 48.5 5.5 1 1 41.25 0 2 3.75 0 0 0 0 0 "2007" "06" 0.140969376421866 2007-06-01
"43" "2007-07" 14.4 0.8 2.6 3.6 3.6 82.4 1.6 38.8 70.2 0 49.8 4.4 2.6 42.8 0 3 35.2 0 49.2 0.6 1 0 6.2 3 1.8 0 1.8 0 6.2 4.4 2 4.4 2.8 37.4 66.8 0 7.2 28 5.6 3.6 7.4 1.4 4.2 5.2 4.8 44.4 4.6 1 1 35.2 0 2.6 3.2 0 0 0 0 0 "2007" "07" 0.143453865979632 2007-07-01
"44" "2007-08" 14.5 0.75 2.5 3.25 2.75 72.25 1.75 41.5 59.75 0 47.25 3.5 2.75 46.25 0 3.25 32.5 0 48.75 1 1 0 6 2.5 3 0 1.75 0 5.5 3.75 1.5 4.25 2.25 41 68.5 0 7 23.5 5 3 8.5 1 4.5 4.75 3.25 45.25 5 1 0.5 31.5 4.5 2.25 3 0 0 0 0 0 "2007" "08" 0.137592475935107 2007-08-01
"45" "2007-09" 14.8 0.4 2.8 3.2 3.2 66.2 2.2 41.6 51.2 0 47.8 4.4 2.2 45 0 4.2 28.6 0 52.2 1 1 0 6.4 2.6 2.4 0 2 0 5.6 3.8 2 4.8 2.4 44.4 68.6 0 6.4 25.4 5 3.8 6.6 1.2 4.8 4.6 3.6 39 5.2 1 0.6 35.4 15.8 2 4.4 0 0 0 0 0 "2007" "09" 0.137968364758312 2007-09-01
"46" "2007-10" 14 0.75 2.75 3.5 2.5 65.75 2 37 56.25 0 44.75 3.75 2.25 50 0 0 32.75 0 47 1 1 0 6 2.75 1.75 0 1.5 0 6.5 4 2.5 4.25 1.5 49.75 66.5 0 6 27 4.5 3.75 7 1 4.75 3.5 3.5 35.75 4.75 1 0 44.5 17 2.25 4 0 0 0 0 0 "2007" "10" 0.131152616345115 2007-10-01
"47" "2007-11" 12.25 0.5 2.75 3.25 2.5 65.25 1.5 40.25 46.5 0 48.5 3.5 1.25 49.25 1.25 1.75 28.25 0 51.5 0.75 1 0 5.75 3 1.75 0 1.5 0 6.25 4 2.25 4.5 2 67.25 73 0 6.5 28.5 5 3 6.75 1.25 4.75 3.25 3 39 4.25 1 0.75 36.25 15.5 2.5 4.25 0 0 0 0 0 "2007" "11" 0.134629136958342 2007-11-01
"48" "2007-12" 11.2 0.4 2.2 3 3 79.2 1.8 36.2 50.6 0 42.2 4 1.4 34.8 0 2.2 31.6 0 39.2 1 1 0 5.2 2 1 0 1.4 0.6 6.6 3.4 1.8 3.6 1.8 64.2 65.4 0 6.8 24.2 5.2 3.4 6.6 1 3.6 3.4 3.4 35.8 4.4 1 0.4 34 14.8 2 3.6 0 0 0 0 0 "2007" "12" 0.132567147263337 2007-12-01
"53" "2008-05" 15.25 1 2.75 2.25 3.25 63.5 2 45 75.25 0 59 6.25 2.5 41.75 5.25 3.5 55 0 55 1 2 0 5.75 2.5 1.25 0 2.25 1.5 5.75 3.25 1.75 4 2.75 41.5 59.5 0 6.75 34 5.25 3.75 6 1.5 5 5.75 5 44 5.75 1 1 38 19.25 2.25 4.25 0 0 0 0 0 "2008" "05" 0.167053176193478 2008-05-01
"54" "2008-06" 15.6 1.2 3.6 3.8 3.6 67.6 1.8 50.4 67.6 0 65.6 5.4 2.4 60.4 0 3.6 50.4 0 48 1.4 2 0 6.8 2.6 1.2 0 1.8 0 5.4 3.6 2 4 2.8 40.2 59.4 0.2 7 37 5.6 4.4 6.2 1.6 4.2 6 5.2 48 7.2 2.2 1.6 43.4 14.2 2.8 3.8 0 0 0 4 0 "2008" "06" 0.167300440575674 2008-06-01
"55" "2008-07" 17.25 2 4.5 4.5 3.75 73.75 2.25 51.75 64 0 66.5 5.75 2.75 57.75 0 3.25 49 0 42.25 1.75 2 0 7 2.75 1.5 1 2.25 0.75 7.25 3 2 5.75 3.25 41.75 64.25 0 7.75 32 5.5 4.5 6.75 1.25 4.75 5.75 5 42.5 6.5 1.5 1.75 48.75 14 2.75 3.75 0 1.5 0 4.75 0 "2008" "07" 0.164299207978088 2008-07-01
"56" "2008-08" 16.8 2 3.4 3 3.2 76.6 2.4 48 69.8 0 67.4 5.4 3.2 44.8 1.2 3.2 50.2 0 54.6 2 2.2 0 6.8 2.6 3.6 0 2.4 0 6.4 2.6 1.8 5.2 3.6 43 63.8 0 7.6 29.2 5 4.8 5.8 1.6 4.2 5.2 3.4 41.6 5.6 2.2 1.8 40 14.2 3.4 3.2 0 0 0 2.4 0 "2008" "08" 0.165169551405852 2008-08-01
"57" "2008-09" 18 2.5 3.5 3.75 3.25 71 3 46.75 56.75 0 57.75 6.25 2.75 51 2.5 3 61.75 0 50.25 3.25 4.5 0 6.75 2.5 2.75 2 2.5 3 7.25 4 2 6.75 3.5 48 67.5 1.5 7 29.5 5 4.75 5.5 2 5 5 4 36.75 5 2.25 1.75 45.25 17.5 3.25 4 1 0 0 0 0 "2008" "09" 0.160464470095688 2008-09-01
"58" "2008-10" 17.25 2 3.5 4.25 2.5 67.5 2.5 45.25 56 0 56.75 4.75 3 52.5 5.25 2.75 67.75 0 49.75 2 3.25 0 6.5 3 1.75 2.75 2.5 3 7 2.75 2.25 5.25 4 51.5 77.25 2.75 6.75 31.5 5 4.5 5.5 2 5.5 4.25 4.5 36.25 5.75 3.5 1.75 44.25 19.5 3.25 5.25 0 4 0 0 0 "2008" "10" 0.153327563931242 2008-10-01
"59" "2008-11" 16 2.2 3.6 4.4 2.6 69.8 3 41.8 55.8 0 53 4 2.6 49.8 1 3 68.8 0 47.6 1.8 2.8 0 6.2 3 1.6 0 2.4 2.8 6.4 2.6 2.6 5.2 3.2 72.2 77.8 3.6 5.6 27.8 4.6 4.4 6 2 5.8 4.2 3.6 37 6.4 4.6 2.6 45 19.2 3.4 4.4 0 0 0 0.8 0 "2008" "11" 0.153336905043512 2008-11-01
"60" "2008-12" 12.75 1.75 3.75 4.25 2.75 80.25 2.75 36.75 51.25 0 41.25 4 2 42.75 1.5 2.5 61.75 0 46.25 1.25 2.5 0 6 2.25 1 0 2.25 4 6.5 3.5 1.5 4 2.5 75 75 3.75 6.25 27.75 3.75 4.25 5 1.25 4 3.5 2.75 33 4.25 4.25 3.5 38.25 15.5 2.75 3.25 0 0 0 5 0 "2008" "12" 0.152121062400749 2008-12-01
"61" "2009-01" 19 3 5.25 4.75 3.5 66 3.25 47 65.25 1.5 64 6 3.25 58.5 5 4.5 76.5 2 57 2.25 3.75 0 6.75 3.25 1.5 1 2.75 2.75 7.5 3 2.5 5.75 3.25 52.5 68.25 6.75 5 36.5 5 4.25 6.5 1.75 4.5 5.5 4 39.5 6 6 5 47 19.5 3.5 4.5 0 0 0 4.5 0 "2009" "01" 0.155991341237656 2009-01-01
"62" "2009-02" 17.5 3 5 5 4.25 45.25 3 44 55.75 6.5 56.5 4.75 2.75 60 5 3.5 75.5 0 61 2 4 2 7 3.25 1.75 0 2.5 2 6 3.25 3 6.5 2.5 48.25 62.5 6 3.25 32.25 5.5 3.5 6 2 5.75 4.5 4 40 4.5 6.75 5 43.25 22.25 3.25 4.5 0.75 1.25 0.75 4 0 "2009" "02" 0.158243286930476 2009-02-01
"63" "2009-03" 19.2 2.4 4.6 4.2 5 48 2.6 45.2 66 6.2 62 6 2.6 53.2 5 3.8 74 4.4 53.4 2 3.8 1.6 7.2 3.2 1.6 0 3 0 5 3 3 6.4 2.8 50.8 65.4 6.2 4 30.2 5.6 4.4 5.2 1.6 5.6 4.4 3.2 36 5 4.6 4.8 46.4 20 3.2 4.2 0 0 0 6.4 0 "2009" "03" 0.158474885062037 2009-03-01
"64" "2009-04" 40 3 5.25 4.5 4.75 56.5 2.75 45.75 69 1.75 55 6 3 48.5 4.75 3.5 74 4.5 46.75 2 3.25 0 7.25 2.75 1.5 0 3.25 1.5 5 2.75 2.25 5.5 3.25 46.25 64.25 4.25 4.75 32.75 5.25 4.25 5 2 6.25 4.25 4 38 4.5 4.5 4 45 16.5 3.25 4.75 0.75 3 1.5 4.75 0 "2009" "04" 0.157322461380597 2009-04-01
"65" "2009-05" 17.8 3.2 4.4 4.4 5 67.8 3.2 55.6 72.2 0 54.4 7 3 60.2 5.6 5 82.8 0 56.8 2.4 3.2 0.4 6.8 3.4 1.6 2.4 3.6 2.8 5.2 2.6 2.4 4.6 3.6 42.4 61.6 4.6 5.8 41.4 5.2 5.2 4.6 2.8 5.6 4.8 3.8 38.2 5.4 4 3.8 45.4 15.2 3 4 0 5 4 4.2 0 "2009" "05" 0.159955506684154 2009-05-01
"66" "2009-06" 18.25 3.25 5 4.5 5 76 4.5 49.75 69.25 0 62 5.75 3.25 60.5 5.25 5.5 72.5 0 58 2.25 4 2.25 7.5 3.75 1.75 4.5 4.5 3.25 5.5 3 2.75 4.25 4 42.75 69.25 4.75 6.75 34.75 4.75 5 4.75 3.25 5 5.25 4.25 39.25 5.25 4.5 4 45.75 14.25 3.5 3.75 0 4.75 2.75 4.25 1.75 "2009" "06" 0.163614271389179 2009-06-01
